Title,Year,ID,Director 1,Director 2,Lead Actor,Supporting Actor,Genre 1,Genre 2,Genre 3,Length,ID,Jon,Shukanth,RT,iMDB,MC,Jake,Jeff,Letterboxd Link
Goodfellas,1990,,Martin Scorsese,,,,Action,,,146,,,,,,,5,4,http://letterboxd.com/film/goodfellas/
Harakiri,1962,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/harakiri/
Gozu,2003,,Takashi Miike,,,,Asian,,,130,,,,,,,,,
Her,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/her/
High Fidelity,2000,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/high-fidelity/
Grave of the Fireflies,1988,,Isao Takahata,,,,Anime,,,89,,,,97,85,,3,5,http://letterboxd.com/film/grave-of-the-fireflies/
Grindhouse: Death Proof,2007,,Quentin Tarantino,,,,Action,,,114,,,,,,,,,
Grindhouse: Planet Terror,2007,,Robert Rodriguez,,,,Action,,,105,,,,,,,,,
Grizzly Man,2005,,Werner Herzog,,,,Documentary,,,103,,,,,,,4,,http://letterboxd.com/film/grizzly-man/
Inside Llewyn Davis,2013,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/inside-llewyn-davis/
interMission,2003,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/intermission/
Jackie Brown,1997,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/jackie-brown/
Kagemusha,1980,,,,,,,,,,,,,,,,4.5,4,http://letterboxd.com/film/kagemusha/
Groundhog Day,1993,,Harold Ramis,,,,Comedy,,,101,,,,,,,3.5,4.5,http://letterboxd.com/film/groundhog-day/
Killing Them Softly,2012,,,,,,,,,,,,,,,,4.5,4,http://letterboxd.com/film/killing-them-softly/
Half Nelson,2006,,Ryan Fleck,,,,Drama,,,106,,,,,,,,,
Klown,2010,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/klown/
L.A. Confidential,1997,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/la-confidential/
Let the Right One In,2008,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/let-the-right-one-in/
Lethal Weapon,1987,,,,,,,,,,,,,,,,4.5,4,http://letterboxd.com/film/lethal-weapon/
Happy Together,1997,,Wong Kar-wai,,,,Asian,,,96,,,,,,,,4,http://letterboxd.com/film/happy-together-1997/
Like Someone in Love,2012,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/like-someone-in-love/
Hard Boiled,1992,,John Woo,,,,Asian,,,128,,,,,,,4.5,4.5,http://letterboxd.com/film/hard-boiled/
Hard Eight,1996,,Paul Thomas Anderson,,,,Suspense,,,102,,,,,,,,4,http://letterboxd.com/film/hard-eight/
Major Payne,1995,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/major-payne/
Man on Wire,2008,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/man-on-wire/
Harold & Kumar Go to White Castle,2004,,Danny Leiner,,,,Comedy,,,88,,,,,,,3,,http://letterboxd.com/film/harold-kumar-go-to-white-castle/
Metropolis,2001,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/metropolis-2001/
Hearts and Minds,1974,,Peter Davis,,,,Documentary,,,112,,,,,,,,,
Heat,1995,,Michael Mann,,,,Action,,,170,,,,86,83,76,5,5,http://letterboxd.com/film/heat-1995/
Heavenly Creatures,1994,,Peter Jackson,,,,Fantasy,,,99,,,,,,,,,
Hero,2002,,Yimou Zhang,,,,Asian,,,99,,,,,,,4,,http://letterboxd.com/film/hero-2002/
Mud,2012,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/mud/
Nebraska,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/nebraska/
New World,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/new-world/
Ocean's Eleven,2001,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/oceans-eleven-2001/
Hoop Dreams,1994,,Steve James,,,,Documentary,,,170,,,,,,,,,
Only God Forgives,2013,,,,,,,,,,,,,,,,4.5,4,http://letterboxd.com/film/only-god-forgives/
Oslo August 31st,2011,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/oslo-august-31st/
Out of Sight,1998,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/out-of-sight/
Hot Fuzz,2007,,Edgar Wright,,,,Comedy,,,121,,,,,,,3.5,4,http://letterboxd.com/film/hot-fuzz/
Hugo,2011,,Martin Scorsese,,,,Drama,,,126,,,,,,,3,4,http://letterboxd.com/film/hugo/
Pineapple Express,2008,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/pineapple-express/
Pitch Black,2000,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/pitch-black/
Human Nature,2001,,Michel Gondry,,,,Comedy,,,96,,,,,,,,,
I Heart Huckabees,2004,,David O. Russell,,,,Comedy,,,107,,,,,,,,4,http://letterboxd.com/film/i-heart-huckabees/
